customer_id,name,email,region,gender,age_group,account_type,signup_date
1,Drew Nguyen,drewnguyenpi@example.com,Midwest,Female,18-24,Registered,2024-06-03
2,Quinn Kim,quinnkimb@example.com,West,Male,45-54,Premium,2024-08-13
3,Riley Wright,rileywrightdz@mail.com,Midwest,Female,35-44,Registered,2023-04-16
4,Jordan Martin,jordanmartin2ck@mail.com,Midwest,Female,35-44,Premium,2024-01-06
5,Hayden Hall,haydenhallby@domain.net,South,Other,18-24,Guest,2025-02-14
6,Drew Hall,drewhall0@example.com,South,Female,35-44,Registered,2023-10-04
7,Cameron Adams,cameronadamsh@domain.net,Midwest,Female,18-24,Registered,2023-06-22
8,Cameron Nguyen,cameronnguyen5k@mail.com,South,Female,35-44,Guest,2024-02-16
9,Quinn Young,quinnyounggkf@domain.net,South,Male,18-24,Guest,2024-11-05
10,Skyler Hall,skylerhallod@domain.net,West,Female,35-44,Registered,2023-02-25
11,Logan Kim,logankim@mail.com,Northeast,Male,18-24,Registered,2023-04-15
12,Casey Young,caseyyounge@domain.net,South,Male,25-34,Registered,2023-12-22
13,Hayden Adams,haydenadamsa8t@mail.com,Midwest,Male,45-54,Registered,2024-05-05
14,Riley Lee,rileylee1t@mail.com,South,Female,18-24,Registered,2024-06-14
15,Drew Clark,drewclarks@mail.com,South,Female,25-34,Guest,2024-02-15
16,Skyler Lee,skylerleecd@inbox.com,West,Male,25-34,Registered,2023-12-19
17,Hayden Martin,haydenmartinenz@example.com,Midwest,Other,35-44,Guest,2024-10-30
18,Jamie Rivera,jamierivera80g@domain.net,West,Female,18-24,Premium,2025-01-09
19,Riley Lee,rileyleet@inbox.com,Northeast,Female,25-34,Registered,2024-04-30
20,Riley Lee,rileyleeb@mail.com,Northeast,Female,35-44,Premium,2024-03-20
21,Jamie Wright,jamiewrightx3@inbox.com,Midwest,Male,35-44,Registered,2023-03-04
22,Quinn Nguyen,quinnnguyenf@mail.com,South,Male,35-44,Guest,2023-01-05
23,Casey Kim,caseykimbd@mail.com,Midwest,Female,45-54,Guest,2024-07-27
24,Reese Lee,reeselees3@inbox.com,South,Male,35-44,Registered,2024-06-08
25,Morgan Walker,morganwalkericy@example.com,West,Male,35-44,Guest,2024-02-06
26,Casey Nguyen,caseynguyen5f@example.com,West,Male,25-34,Guest,2024-04-23
27,Morgan Brown,morganbrowntp@example.com,South,Male,35-44,Guest,2023-04-05
28,Alex King,alexkingj@example.com,Midwest,Female,18-24,Premium,2025-03-18
29,Jordan Brown,jordanbrownlk2@domain.net,Northeast,Male,55-64,Registered,2023-09-22
30,Sam Baker,sambaker5q@example.com,West,Male,18-24,Guest,2024-09-14
31,Drew Baker,drewbakerg@inbox.com,West,Male,35-44,Guest,2023-04-23
32,Cameron Wright,cameronwrighta@inbox.com,South,Male,45-54,Guest,2025-04-02
33,Jamie Rivera,jamieriveralhi@domain.net,Northeast,Female,45-54,Registered,2024-07-13
34,Jamie Nguyen,jamienguyenb@domain.net,Midwest,Male,25-34,Guest,2025-01-28
35,Logan Wright,loganwrightlb5@inbox.com,South,Male,25-34,Guest,2023-01-04
36,Jamie Young,jamieyoungj@example.com,Northeast,Male,25-34,Registered,2023-09-12
37,Taylor Nguyen,taylornguyen62v@mail.com,Midwest,Male,25-34,Guest,2024-08-22
38,Drew Rivera,drewrivera1u3@mail.com,Northeast,Female,18-24,Registered,2024-06-09
39,Alex Clark,alexclarktij@example.com,Northeast,Female,65+,Guest,2024-04-07
40,Reese Patel,reesepateli1@example.com,South,Female,45-54,Guest,2025-01-24
41,Morgan Adams,morganadamsv@mail.com,Midwest,Male,45-54,Registered,2024-09-23
42,Drew Walker,drewwalkerhrz@example.com,South,Female,25-34,Registered,2024-05-12
43,Cameron Adams,cameronadamsq3@example.com,Midwest,Prefer not to say,35-44,Guest,2023-03-29
44,Reese Walker,reesewalkerv@inbox.com,Midwest,Female,18-24,Guest,2025-02-04
45,Avery Garcia,averygarciakf@domain.net,South,Female,35-44,Guest,2023-01-04
46,Skyler King,skylerkinga0j@mail.com,Midwest,Male,45-54,Registered,2023-05-03
47,Taylor King,taylorking4@example.com,Midwest,Male,55-64,Registered,2025-05-24
48,Cameron Nguyen,cameronnguyentzb@domain.net,Northeast,Female,25-34,Guest,2024-03-14
49,Quinn Adams,quinnadamsmk@domain.net,South,Female,35-44,Premium,2024-07-17
50,Avery King,averykingh69@domain.net,South,Female,25-34,Guest,2023-06-15
